X,Y,Time
210.5,146.5,1580443592781
211.5,147.5,1580443592811
212.0,154.0,1580443593406
212.0,154.0,1580443593421
208.0,155.5,1580443593754
207.5,155.5,1580443593881
207.0,157.0,1580443594186
206.5,147.0,1580443594872
206.5,147.0,1580443594884
209.0,146.0,1580443595273
231.0,144.0,1580443595273
208.5,145.5,1580443595448
X,Y,Time
169.5,149.5,1580443665317
169.5,148.5,1580443665407
170.5,149.5,1580443665456
172.5,151.0,1580443665526
172.5,152.0,1580443665559
173.0,152.0,1580443665590
178.5,152.0,1580443665862
177.0,150.5,1580443665894
177.5,150.5,1580443665990
175.5,149.5,1580443666074
175.5,149.0,1580443666135
174.5,148.5,1580443666166
174.0,148.0,1580443666198
173.0,148.0,1580443666294
173.5,148.5,1580443666326
181.5,152.5,1580443666739
183.0,150.5,1580443666861
182.5,150.0,1580443666939
183.0,150.0,1580443666977
184.5,150.5,1580443668170
186.0,151.5,1580443668204
186.0,151.5,1580443668217
185.5,148.5,1580443668263
186.5,150.0,1580443668295
187.5,151.0,1580443668358
186.5,151.5,1580443668391
186.0,152.0,1580443668493
186.0,152.0,1580443668508
185.5,153.0,1580443668599
185.0,151.5,1580443668630
184.5,152.0,1580443668684
185.5,152.5,1580443668715
184.5,151.5,1580443668768
185.5,152.0,1580443668799
184.5,152.0,1580443668831
185.5,152.5,1580443668868
186.0,152.0,1580443668900
185.0,152.0,1580443668931
184.0,152.0,1580443668969
185.5,152.5,1580443669000
186.0,152.5,1580443669031
186.0,153.0,1580443669069
186.0,152.5,1580443669169
186.0,152.5,1580443669200
184.0,151.0,1580443669269
184.5,152.0,1580443669300
185.0,153.5,1580443669347
183.0,151.0,1580443669385
182.0,150.5,1580443669416
181.5,150.5,1580443669432
183.5,152.5,1580443669512
185.0,151.5,1580443669575
184.0,151.0,1580443669657
185.0,151.5,1580443669722
183.0,151.0,1580443669815
185.0,151.5,1580443669846
185.5,151.5,1580443669910
185.5,153.0,1580443669962
184.5,152.0,1580443670055
185.0,151.5,1580443670086
183.0,151.0,1580443670150
185.0,151.0,1580443670214
183.5,151.5,1580443670297
183.5,151.5,1580443670310
184.5,151.0,1580443670359
184.0,151.0,1580443670598
184.0,151.0,1580443670610
183.5,151.5,1580443670631
184.0,152.0,1580443670664
183.5,151.5,1580443670695
183.5,152.0,1580443670726
184.5,151.5,1580443670758
184.5,152.0,1580443670790
184.0,152.5,1580443670876
182.5,151.0,1580443670903
182.5,151.0,1580443670914
184.0,152.0,1580443670966
184.0,151.5,1580443670999
184.0,152.0,1580443671030
184.5,151.5,1580443671062
185.0,152.5,1580443671095
185.5,152.5,1580443671175
185.0,152.0,1580443671273
185.5,152.5,1580443671338
184.5,151.5,1580443671368
184.5,151.5,1580443671399
184.0,152.0,1580443671544
185.5,152.5,1580443671638
185.0,152.0,1580443671750
186.0,152.0,1580443671782
184.0,152.0,1580443671814
184.0,151.0,1580443671847
185.5,152.5,1580443671877
184.0,151.5,1580443671942
184.5,151.0,1580443671975
185.5,152.0,1580443672006
185.0,152.0,1580443672055
185.5,152.0,1580443672087
185.5,152.0,1580443672119
185.5,152.0,1580443672152
186.0,152.0,1580443672311
186.5,154.0,1580443672551
186.0,153.5,1580443672582
185.5,152.5,1580443672614
186.0,151.5,1580443672664
185.5,151.5,1580443672696
185.5,151.5,1580443672709
186.5,152.0,1580443672758
186.5,152.0,1580443672791
186.0,151.5,1580443672855
209.0,151.5,1580443672886
186.0,152.5,1580443672886
187.0,152.5,1580443673030
209.0,151.0,1580443673094
185.5,151.5,1580443673334
186.0,152.0,1580443673398
185.0,152.0,1580443673431
185.5,151.0,1580443673575
208.5,151.5,1580443673606
185.0,152.0,1580443673606
184.0,151.0,1580443673638
186.0,153.5,1580443673728
208.5,151.5,1580443673744
186.0,152.0,1580443673744
186.0,151.5,1580443673767
184.5,151.0,1580443673881
185.0,151.5,1580443673911
184.0,151.0,1580443673942
186.0,153.5,1580443673974
208.5,152.0,1580443674070
185.0,151.5,1580443674071
185.0,151.5,1580443674156
208.5,151.5,1580443674187
186.0,152.0,1580443674187
186.0,152.0,1580443674217
183.5,150.5,1580443674247
185.0,151.5,1580443674343
184.0,151.0,1580443674374
185.0,151.5,1580443674488
186.0,151.5,1580443674522
209.0,151.0,1580443674522
186.0,151.5,1580443674552
186.0,152.0,1580443674583
186.0,152.0,1580443674615
185.0,151.0,1580443674647
186.5,152.0,1580443674760
186.0,151.5,1580443674793
186.0,151.5,1580443674805
186.0,152.0,1580443674888
186.5,152.0,1580443674918
185.5,151.5,1580443674950
186.0,152.5,1580443674982
185.5,151.0,1580443675015
185.5,151.0,1580443675096
185.5,151.0,1580443675106
185.5,152.0,1580443675126
186.0,152.0,1580443675159
185.5,152.0,1580443675191
185.0,151.0,1580443675257
186.5,152.5,1580443675286
185.5,151.5,1580443675319
185.5,151.5,1580443675401
185.5,151.5,1580443675414
186.5,152.5,1580443675432
185.5,152.5,1580443675462
186.0,153.0,1580443675495
186.5,152.0,1580443675558
188.0,151.5,1580443675766
185.0,151.5,1580443675895
185.5,152.5,1580443675946
185.5,152.5,1580443675978
185.0,151.5,1580443676008
185.0,151.5,1580443676038
185.0,151.0,1580443676071
185.0,151.5,1580443676102
185.5,152.0,1580443676134
185.0,151.0,1580443676167
185.0,151.5,1580443676199
185.0,151.5,1580443676247
185.0,151.5,1580443676278
186.0,151.5,1580443676311
186.0,151.0,1580443676439
186.0,151.5,1580443676470
185.5,152.0,1580443676586
186.0,151.0,1580443676678
185.5,151.5,1580443676711
185.5,151.5,1580443677048
185.0,151.5,1580443677078
185.0,151.5,1580443677162
186.0,151.0,1580443677194
186.0,151.0,1580443677206
186.0,152.0,1580443677255
186.0,151.5,1580443677383
208.5,151.0,1580443677414
185.5,152.0,1580443677465
186.5,152.5,1580443677802
186.5,152.5,1580443677817
185.5,151.5,1580443677831
185.0,151.0,1580443677862
186.0,152.5,1580443677894
185.5,151.5,1580443677927
186.0,151.5,1580443678074
186.0,151.5,1580443678085
186.5,151.5,1580443678102
186.0,151.5,1580443678263
186.0,151.0,1580443678439
186.0,151.5,1580443678504
186.0,151.0,1580443678535
186.0,152.0,1580443678567
185.5,151.5,1580443678955
186.0,152.0,1580443678987
185.5,152.0,1580443679046
185.5,152.5,1580443679079
185.0,152.0,1580443679111
185.0,151.0,1580443679142
185.5,152.0,1580443679383
185.0,152.0,1580443679414
185.0,151.5,1580443679478
185.5,152.0,1580443679497
185.5,152.0,1580443679675
185.5,152.0,1580443679713
185.5,152.0,1580443679814
186.0,152.0,1580443679914
186.0,152.0,1580443679945
184.5,151.5,1580443680045
185.0,152.0,1580443680076
185.5,152.0,1580443680114
184.0,151.0,1580443680177
185.5,152.0,1580443680230
185.0,152.0,1580443680261
185.0,151.5,1580443680315
186.0,152.0,1580443680377
185.0,151.0,1580443680477
185.0,151.0,1580443680503
186.0,152.0,1580443680515
185.5,152.5,1580443680535
209.0,151.5,1580443680567
185.5,152.0,1580443680598
185.5,152.5,1580443680630
185.0,151.0,1580443680662
184.0,150.5,1580443680694
186.5,152.5,1580443680745
186.0,152.0,1580443680774
185.5,152.0,1580443680805
186.0,152.0,1580443680839
186.0,152.0,1580443680871
186.0,152.0,1580443680935
185.0,152.0,1580443680967
186.0,152.0,1580443680998
208.5,151.5,1580443681048
185.0,152.0,1580443681048
186.0,152.5,1580443681079
209.0,151.5,1580443681079
185.0,152.5,1580443681111
185.0,151.0,1580443681142
185.5,152.5,1580443681174
186.0,152.5,1580443681206
185.5,153.0,1580443681271
183.5,151.0,1580443681354
186.0,152.0,1580443681386
185.0,152.0,1580443681417
185.0,151.5,1580443681448
185.0,151.5,1580443681480
186.0,151.5,1580443681543
184.0,151.5,1580443681657
185.5,152.0,1580443681709
185.5,151.5,1580443681723
186.0,153.0,1580443681782
185.5,152.0,1580443681814
186.0,152.5,1580443681879
184.0,151.0,1580443681910
185.0,151.5,1580443681961
186.0,152.5,1580443682087
187.0,152.5,1580443682119
184.0,152.0,1580443682791
181.0,150.5,1580443682966
182.5,151.5,1580443682999
181.5,150.5,1580443683030
184.0,151.0,1580443683094
183.0,150.0,1580443683145
184.0,151.0,1580443683177
184.0,151.0,1580443683209
183.5,151.0,1580443683302
184.0,151.0,1580443683335
184.5,152.0,1580443683367
184.0,152.0,1580443683451
X,Y,Time
188.0,164.5,1580443793386
182.0,157.0,1580443793585
181.5,157.0,1580443793616
181.5,156.5,1580443793668
181.5,156.5,1580443793701
181.5,156.5,1580443793716
181.5,157.0,1580443793730
181.5,157.0,1580443793761
181.0,156.5,1580443793793
207.0,157.0,1580443793793
182.5,157.0,1580443793861
182.0,157.0,1580443793893
182.0,157.0,1580443793924
181.0,157.0,1580443793972
181.5,156.5,1580443794032
182.0,158.0,1580443794305
182.0,158.0,1580443794315
181.5,156.0,1580443794336
182.5,155.5,1580443794368
182.5,154.5,1580443794432
182.0,153.5,1580443794464
182.5,154.0,1580443794496
182.5,154.5,1580443794528
182.0,154.0,1580443794578
182.5,154.0,1580443794611
182.0,154.0,1580443794736
181.5,152.5,1580443794769
182.0,154.5,1580443794835
182.5,154.5,1580443794913
182.5,155.0,1580443795040
182.5,155.0,1580443795105
182.5,154.5,1580443795186
182.5,155.0,1580443795249
182.5,154.5,1580443795312
182.5,154.5,1580443795376
182.5,153.5,1580443795617
182.5,153.5,1580443795649
182.5,154.0,1580443795681
183.0,154.0,1580443795796
183.0,154.0,1580443795809
183.0,154.5,1580443795984
182.5,155.0,1580443796675
182.5,155.0,1580443797409
183.0,155.5,1580443797778
183.0,155.0,1580443797922
209.5,156.0,1580443798721
183.5,156.5,1580443799106
183.5,156.5,1580443799117
183.0,155.5,1580443799509
183.0,155.5,1580443799601
183.0,156.0,1580443799650
183.5,156.5,1580443799681
186.5,165.0,1580443799810
186.0,163.5,1580443799841
183.0,156.5,1580443801124
183.0,155.5,1580443801206
183.0,155.5,1580443801219
209.0,156.0,1580443801233
182.5,155.5,1580443801265
184.5,155.5,1580443802049
210.5,156.0,1580443802112
184.5,156.5,1580443802208
185.5,156.5,1580443802241
184.0,156.0,1580443802272
184.0,155.5,1580443802304
184.0,156.0,1580443802388
184.0,155.5,1580443802419
184.0,155.5,1580443802450
184.0,156.0,1580443802544
184.0,156.0,1580443802577
184.5,156.5,1580443802609
184.5,156.0,1580443802659
185.0,156.0,1580443802753
184.5,156.0,1580443802816
184.5,156.0,1580443802848
184.0,155.5,1580443802912
184.0,156.0,1580443802962
185.0,155.5,1580443802995
185.0,155.5,1580443803009
184.5,156.0,1580443803061
184.0,155.5,1580443803089
184.0,155.5,1580443803120
184.0,156.0,1580443803184
184.5,155.5,1580443803216
184.0,155.5,1580443803266
184.0,155.0,1580443803298
184.0,155.0,1580443803311
184.5,156.5,1580443803328
184.0,156.0,1580443803393
184.0,156.5,1580443803492
184.0,155.0,1580443803523
183.0,155.0,1580443803572
185.0,156.0,1580443803633
183.5,155.5,1580443803664
183.0,155.5,1580443803899
184.0,155.5,1580443803969
184.0,156.5,1580443804000
210.0,158.0,1580443804001
184.0,155.5,1580443804097
184.0,156.5,1580443804147
184.0,156.0,1580443804179
184.0,155.5,1580443804243
184.0,155.5,1580443804273
184.5,155.5,1580443804304
184.0,156.0,1580443804336
184.0,156.0,1580443804368
184.0,156.0,1580443804400
184.0,155.0,1580443804481
184.5,156.0,1580443804544
184.0,155.5,1580443804609
184.0,156.0,1580443804640
184.0,155.5,1580443804672
184.0,155.5,1580443804705
210.0,157.0,1580443804756
184.0,156.0,1580443804756
182.5,154.5,1580443805217
183.5,154.5,1580443805488
